ID;full_address;city;address;place;category
390278;Саранск, ул. Солнечная,25, Саранский автомеханический техникум;Саранск;ул. Солнечная,25;Саранский автомеханический техникум;З/П
390279;Саранск, ул.Попова,61, м-н Пятерочка;Саранск;ул.Попова,61;м-н Пятерочка;Вне ВСП
390280;Темников, ул. Бараева,1, Аптека;Темников;ул. Бараева,1;Аптека;Вне ВСП
390281;Краснослободск, мкрн. 1-й,1, Универсам 'Магнит';Краснослободск;мкрн. 1-й,1;Универсам 'Магнит';Вне ВСП
390282;Саранск, Александровское ш,22, ВКМ Сталь;Саранск;Александровское ш,22;ВКМ Сталь;З/П
390285;Саранск, ул. Лодыгина,11, ООО 'УК холдинга РКТМ';Саранск;ул. Лодыгина,11;ООО 'УК холдинга РКТМ';З/П
390286;Саранск, ул. 1-я Промышленная,41, ООО 'Мордоввторсырье';Саранск;ул. 1-я Промышленная,41;ООО 'Мордоввторсырье';З/П
390288;п.Озерный, ул. Тепличная,15, Магазин 'Ульяна';п.Озерный;ул. Тепличная,15;Магазин 'Ульяна';Вне ВСП
390289;Саранск, ул. Кирова, 63, ТЦ Кировский;Саранск;ул. Кирова, 63;ТЦ Кировский;Вне ВСП
390291;Лесной, ул.Центральная,7а, м-н ООО Сарова;Лесной;ул.Центральная,7а;м-н ООО Сарова;Вне ВСП
390293;Зубова Поляна, ул. Новикова-прибоя,35, ОАО 'Радиодеталь';Зубова Поляна;ул. Новикова-прибоя,35;ОАО 'Радиодеталь';З/П
390294;Саранск, ул. Пионерская,12, ОАО 'Орбита';Саранск;ул. Пионерская,12;ОАО 'Орбита';З/П
390296;Торбеево, ул. Интернациональная,13/2, Универсам 'Малинка';Торбеево;ул. Интернациональная,13/2;Универсам 'Малинка';Вне ВСП
398856;Большие Березники, ул.Ульяновская,19, МФЦ;Большие Березники;ул.Ульяновская,19;МФЦ;Вне ВСП
413889;Кемля, пл.Совесткая, м-н Пятерочка;Кемля;пл.Совесткая;м-н Пятерочка;Вне ВСП
413890;Ромоданово, ул.Полежаева,1, м-н Пятерочка;Ромоданово;ул.Полежаева,1;м-н Пятерочка;Вне ВСП
413891;Саранск, ул.Коммунистическая,75, МВД;Саранск;ул.Коммунистическая,75;МВД;З/П
413892;Саранск, ул. Косарева,50, Павильон остановочного комплекса;Саранск;ул. Косарева,50;Павильон остановочного комплекса;Модуль самообслуживания
